technique_id,technique_name,family,aspect_1_mind,aspect_2_meaning_seeking,aspect_3_relational_perception,aspect_4_conceptual_poverty,aspect_5_ideational_confusion,aspect_6_symbolic_mediation,aspect_7_revelatory_reception
G7,Data-Music Composition,Sonic Synesthetic,1,1,1,1,1,1,1
G8,Audio-Visual Fugue,Sonic Synesthetic,1,1,1,1,1,1,1
H1,L-System / Fractal Tree,Generative Algorithmic,1,1,1,1,1,1,1
H2,Cellular Automaton,Generative Algorithmic,0,0,0,1,0,0,1
H3,Reaction-Diffusion Texture,Generative Algorithmic,0,0,1,0,1,0,0
H4,Agent-Based Simulation,Generative Algorithmic,1,1,1,1,1,1,1
H5,Neural-Network Embedding,Generative Algorithmic,1,1,1,1,1,1,1
H6,Latent-Space Walk,Generative Algorithmic,1,1,1,1,1,1,1
H7,Markov-Chain Text Generator,Generative Algorithmic,0,1,0,0,1,1,0
H8,Genetic Algorithm,Generative Algorithmic,0,0,0,1,0,0,1
H9,Strange Attractor,Generative Algorithmic,1,1,1,1,1,1,1
I1,Force-Directed Graph,Network Graph,0,0,1,0,1,0,0
I2,Hypergraph,Network Graph,1,1,1,1,1,1,1
I3,Bipartite Graph,Network Graph,0,0,1,0,0,0,1
I4,Knowledge Graph (RDF),Network Graph,1,1,1,1,1,1,1
I5,Bayesian Network / DAG,Network Graph,1,1,1,1,1,1,1
I6,Petri Net,Network Graph,0,0,0,1,1,1,1
I7,Causal Loop Diagram,Network Graph,0,0,0,1,1,1,0
J1,Hepteract Projection,Mathematical Topological,1,1,1,1,1,1,1
J2,Poincare Disc,Mathematical Topological,0,0,1,0,0,0,0
J3,Mobius Strip,Mathematical Topological,0,0,0,0,0,1,0
J4,Klein Bottle,Mathematical Topological,0,0,0,1,0,0,0
J5,Fiber Bundle,Mathematical Topological,1,1,1,1,1,1,1
J6,Category-Theory Diagram,Mathematical Topological,1,1,1,1,1,1,1
J7,Simplicial Complex,Mathematical Topological,1,1,1,1,1,1,1
J8,Fourier Decomposition,Mathematical Topological,1,1,1,1,1,1,1
K1,Mythic Map,Cartographic Spatial,1,1,1,1,1,1,1
K2,Transit / Subway Map,Cartographic Spatial,1,1,1,1,1,1,1
K3,Topographic Contour Map,Cartographic Spatial,1,1,1,1,1,1,1
K4,Choropleth / Density Map,Cartographic Spatial,1,1,1,1,1,1,1
K5,Star Chart / Constellation,Cartographic Spatial,1,1,1,1,1,1,1
K6,Labyrinth / Maze,Cartographic Spatial,1,1,1,1,1,1,1
L1,Seven-Movement Choreography,Performative Embodied,1,1,1,1,1,1,1
L2,Theatrical Staging,Performative Embodied,1,1,1,1,1,1,1
L3,Ritual / Liturgical Sequence,Performative Embodied,1,1,1,1,1,1,1
L4,Tableau Vivant,Performative Embodied,1,1,1,1,1,1,1
L5,Eurythmy,Performative Embodied,1,1,1,1,1,1,1
L6,Butoh Sequence,Performative Embodied,0,0,0,1,1,0,1
L7,Guided Meditation,Performative Embodied,1,1,1,1,1,1,1
M1,Board Game,Game Puzzle Pedagogical,1,1,1,1,1,1,1
M2,Card Deck (seven suits),Game Puzzle Pedagogical,1,1,1,1,1,1,1
M3,Escape Room,Game Puzzle Pedagogical,1,1,1,1,1,1,1
M4,Card-Sorting Exercise,Game Puzzle Pedagogical,1,1,1,1,1,1,1
M5,Jigsaw Puzzle,Game Puzzle Pedagogical,1,1,1,1,1,1,1
M6,Alternate Reality Game,Game Puzzle Pedagogical,1,1,1,1,1,1,1
M7,Quiz / Self-Assessment,Game Puzzle Pedagogical,1,1,1,1,1,1,1
N1,Variable Font (seven axes),Linguistic Typographic,0,0,0,0,0,1,0
N2,Constructed Script,Linguistic Typographic,0,0,0,0,0,1,0
N3,Concrete Poetry / Calligramme,Linguistic Typographic,1,1,1,1,1,1,1
N4,Annotated / Interlinear,Linguistic Typographic,1,1,1,1,1,1,1
N5,Word Cloud,Linguistic Typographic,0,1,0,0,0,1,0
N6,Semantic Differential Scale,Linguistic Typographic,1,1,1,1,1,1,1
O1,Scent Map,Olfactory Gustatory Haptic,1,1,1,1,1,1,1
O2,Tasting Menu,Olfactory Gustatory Haptic,1,1,1,1,1,1,1
O3,Tactile Relief Plate,Olfactory Gustatory Haptic,1,1,1,1,1,1,1
O4,Vibrotactile Glove,Olfactory Gustatory Haptic,1,1,1,1,1,1,1
P1,Pendulum Array,Data-Physical Installation,1,1,1,1,1,1,1
P2,Water-Fountain Installation,Data-Physical Installation,1,1,1,1,1,1,1
P3,Garden / Landscape Design,Data-Physical Installation,1,1,1,1,1,1,1
P4,Heptagonal Pavilion,Data-Physical Installation,1,1,1,1,1,1,1
P5,Woven Textile / Tapestry,Data-Physical Installation,1,1,1,1,1,1,1
P6,Mosaic,Data-Physical Installation,1,1,1,1,1,1,1
Q1,Iceberg Diagram (Freudian),Cognitive-Science Psychological,1,1,1,1,1,1,1
Q2,Global Workspace Theory,Cognitive-Science Psychological,1,1,1,1,1,1,1
Q3,Predictive-Processing Hierarchy,Cognitive-Science Psychological,1,0,0,1,1,0,1
Q4,IIT Phi-Diagram,Cognitive-Science Psychological,1,1,1,1,1,1,1
Q5,Default-Mode / Salience Network,Cognitive-Science Psychological,1,1,1,1,1,1,1
Q6,Jungian Mandala,Cognitive-Science Psychological,1,1,1,1,1,1,1
